,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
0,"

銀座 ちかみつ 並木通り

","
焼肉、ホルモン、牛料理
","
東京都中央区銀座6-6-5 HULIC & New GINZA NAMIKI 6 4F A






","

050-5890-1555

","￥10,000","￥14,999","：日曜日＊3月は日曜日も営業致します。
","

：月～日 17:00～24:00ご予約の受付時間は月～土(12:00～24:00)までとなりますので、予めご了承ください。",https://tabelog.com/tokyo/A1301/A130101/13270036/,銀座駅
1,"

房総ホルモン 道玄坂基地

","
ホルモン、焼肉、居酒屋
","
東京都渋谷区道玄坂1-13-1 Mビル 2F






","

050-5592-5250

","￥2,000","￥2,999","
不定休
","

全日 16:00～24:00（フードlo23:00 ドリンクlo23:30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13192275/,渋谷駅
2,"

近江うし焼肉 にくTATSU 銀座店

","
焼肉、ステーキ、居酒屋
","
東京都中央区銀座5-7-6 I liv 15F






","

050-5597-6532

","￥8,000","￥9,999","
年末年始
","

[月～金]11：30～22：30(ⅬO 22：00)［土曜］11：30～22：30(ⅬO 22：00)[日・祝]11：30～22：00(ⅬO 21：30)
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13236329/,銀座駅
3,"

モンスターグリル

","
ステーキ、ダイニングバー、ハンバーグ
","
東京都品川区西五反田1-25-2 






","

050-5571-6513

","￥2,000","￥2,999","
無休
","

【月～金】　ランチ　　11:00-16:00　ディナー　16:00-22:00（LO.21:00）【土・日・祝】　11:00-22:00（LO.21:00）
日曜営業
",https://tabelog.com/tokyo/A1316/A131603/13174322/,大崎広小路駅
4,"

炭火焼肉 芝浦ホルモン

","
ホルモン、もつ鍋、焼肉
","
東京都港区芝5-20-12 






","

050-5593-9914

","￥4,000","￥4,999","
不定休　
","

■変更のお知らせ　10月25日からを下記の通りに変更致します。　月～日　16時～2４時（ドリンクLo30分前）(フードLo60分前)　
日曜営業
",https://tabelog.com/tokyo/A1314/A131402/13209978/,三田駅
5,"

兆奎餃子（チョウケイギョウザ【旧店名】朋来聚）
            
","
中華料理、四川料理、居酒屋
","
東京都新宿区百人町1-10-10 






","

050-5597-9184

","￥2,000","￥2,999","
1月1日2日休み
","

[月～日、祝日、祝前日]11:30～24:00 （料理L.O. 23:00ドリンクL.O. 23:00）
日曜営業
",https://tabelog.com/tokyo/A1304/A130404/13163618/,新大久保駅
6,"

現代里山料理 ZEN HOUSE

","
日本料理
","
東京都中央区銀座5-11-1 B1F






","

050-5456-7782

","￥10,000","￥14,999","
なし/新型コロナウィルス感染症対策の基本方針」を踏まえ、営業時間を短縮させていただくお日にちがございます。皆さまには多大なるご迷惑をお掛けいたしますが、ご理解のほどよろしくお願い致します。
","

朝食6:30～10:00(L.O.9:30)ランチ11:00～15:00(L.O.14:30)カフェ15:00～17:00(L.O.16:30)ディナー17:00～22:00(L.O.20:00)＜テイクアウト＞上記内で販売いたします。
",https://tabelog.com/tokyo/A1301/A130101/13243427/,東銀座駅
7,"

だるま酒場

","
居酒屋、すき焼き、日本料理
","
東京都千代田区内神田1-11-10 コハラビル B1-A






","

050-5570-8764

","￥3,000","￥3,999","
日曜日
","

【月～金】ランチ　 11:45~13:30ディナー 17:00~23:30【土】ディナー 17:00~23:30 
",https://tabelog.com/tokyo/A1310/A131002/13262425/,小川町駅
8,"

弥栄（やさか）
            
","
寿司、日本料理、海鮮
","
東京都渋谷区恵比寿2-8-13 KHビル 1F






","

050-5597-7830

","￥10,000","￥14,999","
毎週月曜日
","

11:30〜14:00 17:00〜22:00					
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13238158/,恵比寿駅
9,"

もつ焼き 五反田 ふじ屋

","
もつ焼き、もつ鍋、焼き鳥
","
東京都品川区西五反田1-26-2 






","

050-5597-0399

","￥3,000","￥3,999","
年中無休
","

■変更のお知らせ　月〜木　16時～24時(Lo30分前)金　16時～25時(Lo30分前)土　15時～24時(Lo30分前)日　15時～23時(Lo30分前)
日曜営業
",https://tabelog.com/tokyo/A1316/A131603/13231571/,大崎広小路駅
